Date/Time,Year,Month,Day,Max Temp (C),Min Temp (C),Mean Temp (C),Heat Deg Days (C),Cool Deg Days (C),Total Rain Flag,Total Snow Flag,Total Precip (mm),Snow on Grnd (cm)
2015-01-01,2015,1,1,1.4,-5.4,-2,20,0,M,M,0,3
2015-01-02,2015,1,2,-2.9,-18.5,-10.7,28.7,0,M,M,2.2,2
2015-01-03,2015,1,3,-18.5,-21.5,-20,38,0,M,M,1.3,4
2015-01-04,2015,1,4,-18.4,-25.5,-22,40,0,M,M,0.7,5
2015-01-05,2015,1,5,-13.5,-20.7,-17.1,35.1,0,M,M,0.2,4
2015-01-06,2015,1,6,-13.7,-15.7,-14.7,32.7,0,M,M,8.8,11
2015-01-07,2015,1,7,5.8,-15,-4.6,22.6,0,M,M,0,13
2015-01-08,2015,1,8,-2.5,-19.6,-11.1,29.1,0,M,M,0,
2015-01-09,2015,1,9,-2.6,-23.6,-13.1,31.1,0,M,M,0.2,9
2015-01-10,2015,1,10,-2,-12.5,-7.3,25.3,0,M,M,1.8,8
2015-01-11,2015,1,11,-6.4,-19.3,-12.9,30.9,0,M,M,0.3,12
2015-01-12,2015,1,12,-3.5,-20.6,-12.1,30.1,0,M,M,0,9
2015-01-13,2015,1,13,3.5,-10.7,-3.6,21.6,0,M,M,0,10
2015-01-14,2015,1,14,8.4,0.6,4.5,13.5,0,M,M,0,11
2015-01-15,2015,1,15,8.5,-1.1,3.7,14.3,0,M,M,0,6
2015-01-16,2015,1,16,6.2,1.2,3.7,14.3,0,M,M,0,5
2015-01-17,2015,1,17,7.1,-0.9,3.1,14.9,0,M,M,0,3
2015-01-18,2015,1,18,6.1,-3.9,1.1,16.9,0,M,M,1.3,2
2015-01-19,2015,1,19,5.2,-0.1,2.6,15.4,0,M,M,0,3
2015-01-20,2015,1,20,3.1,-5.1,-1,19,0,M,M,0,2
2015-01-21,2015,1,21,7.8,-9,-0.6,18.6,0,M,M,0,2
2015-01-22,2015,1,22,8.7,5.3,7,11,0,M,M,0,1
2015-01-23,2015,1,23,10.9,3.3,7.1,10.9,0,M,M,0,1
2015-01-24,2015,1,24,10.5,1.7,6.1,11.9,0,M,M,0,
2015-01-25,2015,1,25,16.7,1.4,9.1,8.9,0,M,M,0,
2015-01-26,2015,1,26,11.8,0.8,6.3,11.7,0,M,M,0,0
2015-01-27,2015,1,27,14.3,-0.8,6.8,11.2,0,M,M,0,
2015-01-28,2015,1,28,5.6,-2.3,1.7,16.3,0,M,M,0,
2015-01-29,2015,1,29,7.9,-5.9,1,17,0,M,M,0,
2015-01-30,2015,1,30,3.8,-5.8,-1,19,0,M,M,0,
2015-01-31,2015,1,31,-5.8,-16.7,-11.3,29.3,0,M,M,3.7,5
2015-02-01,2015,2,1,-6,-17.8,-11.9,29.9,0,M,M,0,4
2015-02-02,2015,2,2,-12.8,-15.5,-14.2,32.2,0,M,M,0.4,1
2015-02-03,2015,2,3,-11.6,-20.7,-16.2,34.2,0,M,M,0,2
2015-02-04,2015,2,4,4.6,-16.8,-6.1,24.1,0,M,M,0,3
2015-02-05,2015,2,5,0.7,-14.6,-7,25,0,M,M,0.2,3
2015-02-06,2015,2,6,-10.7,-15.2,-13,31,0,M,M,0.2,
2015-02-07,2015,2,7,7.5,-16.4,-4.5,22.5,0,M,M,0.2,5
2015-02-08,2015,2,8,3.2,-15.5,-6.2,24.2,0,M,M,0,3
2015-02-09,2015,2,9,-11,-15.4,-13.2,31.2,0,M,M,0,3
2015-02-10,2015,2,10,-7.1,-13.1,-10.1,28.1,0,M,M,0,2
2015-02-11,2015,2,11,-7.2,-11.2,-9.2,27.2,0,M,M,0.2,3
2015-02-12,2015,2,12,11.4,-7.2,2.1,15.9,0,M,M,0,2
2015-02-13,2015,2,13,14.5,0.3,7.4,10.6,0,M,M,0,0
2015-02-14,2015,2,14,7.3,-2.2,2.6,15.4,0,M,M,0.6,
2015-02-15,2015,2,15,4.7,-2.2,1.3,16.7,0,M,M,0,1
2015-02-16,2015,2,16,2,-5.2,-1.6,19.6,0,M,M,0.4,1
2015-02-17,2015,2,17,0.1,-7,-3.5,21.5,0,M,M,0,0
2015-02-18,2015,2,18,6.8,-1.5,2.7,15.3,0,M,M,0,1
2015-02-19,2015,2,19,10.8,-1.8,4.5,13.5,0,M,M,0,1
2015-02-20,2015,2,20,3.8,-5.1,-0.7,18.7,0,M,M,0,0
2015-02-21,2015,2,21,-4.6,-12.9,-8.8,26.8,0,M,M,1.6,1
2015-02-22,2015,2,22,2.8,-13.1,-5.2,23.2,0,M,M,0,5
2015-02-23,2015,2,23,12.7,-2.2,5.3,12.7,0,M,M,0,1
2015-02-24,2015,2,24,11.3,-0.2,5.6,12.4,0,M,M,0,1
2015-02-25,2015,2,25,0.8,-12.9,-6.1,24.1,0,M,M,0.6,1
2015-02-26,2015,2,26,-8.5,-14.9,-11.7,29.7,0,M,M,0.2,1
2015-02-27,2015,2,27,-7.5,-12.4,-10,28,0,M,M,0,1
2015-02-28,2015,2,28,-2,-14.5,-8.3,26.3,0,M,M,0,1
2015-03-01,2015,3,1,0,-13,-6.5,24.5,0,M,M,0,1
2015-03-02,2015,3,2,0.5,-15,-7.3,25.3,0,M,M,0,1
2015-03-03,2015,3,3,-8.5,-18,-13.3,31.3,0,M,M,0,0
2015-03-04,2015,3,4,1.4,-16.6,-7.6,25.6,0,M,M,0,0
2015-03-05,2015,3,5,11,-6.2,2.4,15.6,0,M,M,0,0
2015-03-06,2015,3,6,12.9,-0.6,6.2,11.8,0,M,M,0,0
2015-03-07,2015,3,7,6.7,-7.3,-0.3,18.3,0,M,M,0,0
2015-03-08,2015,3,8,14.4,-2.9,5.8,12.2,0,M,M,0,
2015-03-09,2015,3,9,16.5,0.5,8.5,9.5,0,M,M,0,
2015-03-10,2015,3,10,11.2,-0.8,5.2,12.8,0,M,M,0,
2015-03-11,2015,3,11,16.5,-0.5,8,10,0,M,M,0,
2015-03-12,2015,3,12,15.2,2.6,8.9,9.1,0,M,M,0,
2015-03-13,2015,3,13,17.3,5,11.2,6.8,0,M,M,0,0
2015-03-14,2015,3,14,15.9,6.6,11.3,6.7,0,M,M,0,0
2015-03-15,2015,3,15,9.4,-2.9,3.3,14.7,0,M,M,1.4,
2015-03-16,2015,3,16,0.6,-4,-1.7,19.7,0,M,M,2.4,
2015-03-17,2015,3,17,1.8,-6.5,-2.4,20.4,0,M,M,0,1
2015-03-18,2015,3,18,10.8,-2.8,4,14,0,M,M,0,1
2015-03-19,2015,3,19,14.7,-1.2,6.8,11.2,0,M,M,0,
2015-03-20,2015,3,20,1.4,-3.5,-1.1,19.1,0,M,M,0,
2015-03-21,2015,3,21,0.2,-3.5,-1.7,19.7,0,M,M,0.7,
2015-03-22,2015,3,22,3.1,-5.8,-1.4,19.4,0,M,M,0,3
2015-03-23,2015,3,23,-2.3,-6.7,-4.5,22.5,0,M,M,0.7,
2015-03-24,2015,3,24,1.5,-3.8,-1.2,19.2,0,M,M,0,
2015-03-25,2015,3,25,11.3,-5.5,2.9,15.1,0,M,M,0,
2015-03-26,2015,3,26,18.7,-0.3,9.2,8.8,0,M,M,0,
2015-03-27,2015,3,27,21.7,7.3,14.5,3.5,0,M,M,0,
2015-03-28,2015,3,28,10,0.9,5.5,12.5,0,M,M,2.7,
2015-03-29,2015,3,29,16.6,0.3,8.5,9.5,0,M,M,0,
2015-03-30,2015,3,30,17.5,-0.2,8.7,9.3,0,M,M,0,
2015-03-31,2015,3,31,18.5,1.5,10,8,0,M,M,0,
2015-04-01,2015,4,1,8.7,-0.9,3.9,14.1,0,M,M,0,
2015-04-02,2015,4,2,7,-3.2,1.9,16.1,0,M,M,0.3,
2015-04-03,2015,4,3,8.7,-6.2,1.3,16.7,0,M,M,0.2,
2015-04-04,2015,4,4,3.7,-6.6,-1.5,19.5,0,M,M,0,1
2015-04-05,2015,4,5,0.1,-5,-2.5,20.5,0,M,M,1.6,1
2015-04-06,2015,4,6,-1.4,-4.2,-2.8,20.8,0,M,M,1.6,1
2015-04-07,2015,4,7,8.1,-8.5,-0.2,18.2,0,M,M,0,1
2015-04-08,2015,4,8,11.6,-5.1,3.3,14.7,0,M,M,0,1
2015-04-09,2015,4,9,15.1,-0.6,7.3,10.7,0,M,M,0,
2015-04-10,2015,4,10,16.5,-1,7.8,10.2,0,M,M,0,
2015-04-11,2015,4,11,14,-0.2,6.9,11.1,0,M,M,0.4,
2015-04-12,2015,4,12,7.8,-1.9,3,15,0,M,M,0,
2015-04-13,2015,4,13,14.6,-6.2,4.2,13.8,0,M,M,0,
2015-04-14,2015,4,14,13.1,-1.2,6,12,0,M,M,1.3,
2015-04-15,2015,4,15,13.7,-3.1,5.3,12.7,0,M,M,0.2,
2015-04-16,2015,4,16,17.8,3.1,10.5,7.5,0,M,M,0,
2015-04-17,2015,4,17,20.7,1.3,11,7,0,M,M,0,
2015-04-18,2015,4,18,10.4,0.8,5.6,12.4,0,M,M,1.8,
2015-04-19,2015,4,19,12.8,-5.3,3.8,14.2,0,M,M,0.2,
2015-04-20,2015,4,20,18.5,-0.1,9.2,8.8,0,M,M,0,
2015-04-21,2015,4,21,20.1,7.5,13.8,4.2,0,M,M,0,
2015-04-22,2015,4,22,21.2,3.7,12.5,5.5,0,M,M,0,
2015-04-23,2015,4,23,12.4,-0.4,6,12,0,M,M,0,
2015-04-24,2015,4,24,11.3,0.7,6,12,0,M,M,0,
2015-04-25,2015,4,25,4.3,-1.8,1.3,16.7,0,M,M,0,
2015-04-26,2015,4,26,11.9,-5.8,3.1,14.9,0,M,M,0.2,
2015-04-27,2015,4,27,20.2,1.5,10.9,7.1,0,M,M,0,
2015-04-28,2015,4,28,26.4,5.4,15.9,2.1,0,M,M,0,
2015-04-29,2015,4,29,16.2,2.8,9.5,8.5,0,M,M,0,
2015-04-30,2015,4,30,15.6,0.5,8.1,9.9,0,M,M,0.2,
2015-05-01,2015,5,1,17.7,2.5,10.1,7.9,0,M,M,0,
2015-05-02,2015,5,2,10.2,1.9,6.1,11.9,0,M,M,0,
2015-05-03,2015,5,3,12.5,-1.6,5.5,12.5,0,M,M,0,
2015-05-04,2015,5,4,19.5,1.1,10.3,7.7,0,M,M,0,
2015-05-05,2015,5,5,18.2,3.2,10.7,7.3,0,M,M,1.5,
2015-05-06,2015,5,6,9,0.6,4.8,13.2,0,M,M,0,
2015-05-07,2015,5,7,12.7,-1.7,5.5,12.5,0,M,M,2.8,
2015-05-08,2015,5,8,10.9,0.8,5.9,12.1,0,M,M,1.1,
2015-05-09,2015,5,9,17.2,0,8.6,9.4,0,M,M,0,
2015-05-10,2015,5,10,16.9,-1,8,10,0,M,M,0,
2015-05-11,2015,5,11,12.2,-0.1,6.1,11.9,0,M,M,1.6,
2015-05-12,2015,5,12,14.3,-3.1,5.6,12.4,0,M,M,0,
2015-05-13,2015,5,13,13.3,-2.4,5.5,12.5,0,M,M,0,
2015-05-14,2015,5,14,8,5.2,6.6,11.4,0,M,M,2,
2015-05-15,2015,5,15,11.9,6.5,9.2,8.8,0,M,M,0.5,
2015-05-16,2015,5,16,9.3,0.5,4.9,13.1,0,M,M,18.7,
2015-05-17,2015,5,17,9.5,0.1,4.8,13.2,0,M,M,0.4,
2015-05-18,2015,5,18,13.9,2.2,8.1,9.9,0,M,M,0,
2015-05-19,2015,5,19,16.2,1.3,8.8,9.2,0,M,M,0,
2015-05-20,2015,5,20,19.1,3.5,11.3,6.7,0,M,M,0,
2015-05-21,2015,5,21,21.2,5.4,13.3,4.7,0,M,M,0,
2015-05-22,2015,5,22,23.3,2.2,12.8,5.2,0,M,M,0,
2015-05-23,2015,5,23,23.6,3.2,13.4,4.6,0,M,M,0,
2015-05-24,2015,5,24,22.1,7.1,14.6,3.4,0,M,M,0,
2015-05-25,2015,5,25,22.4,7.7,15.1,2.9,0,M,M,0,
2015-05-26,2015,5,26,21.5,11,16.3,1.7,0,M,M,0,
2015-05-27,2015,5,27,22.3,11,16.7,1.3,0,M,M,0,
2015-05-28,2015,5,28,14.5,8.2,11.4,6.6,0,M,M,0,
2015-05-29,2015,5,29,14.1,5.9,10,8,0,M,M,1.1,
2015-05-30,2015,5,30,16.9,5.4,11.2,6.8,0,M,M,0,
2015-05-31,2015,5,31,25.8,7.6,16.7,1.3,0,M,M,0,
2015-06-01,2015,6,1,22.8,7,14.9,3.1,0,M,M,0.7,
2015-06-02,2015,6,2,13.7,8.7,11.2,6.8,0,M,M,1,
2015-06-03,2015,6,3,13.3,8.6,11,7,0,M,M,13,
2015-06-04,2015,6,4,20.3,6.4,13.4,4.6,0,M,M,5.7,
2015-06-05,2015,6,5,21.4,6.1,13.8,4.2,0,M,M,0,
2015-06-06,2015,6,6,25.1,11,18.1,0,0.1,M,M,,
2015-06-07,2015,6,7,26,11.4,18.7,0,0.7,M,M,0,
2015-06-08,2015,6,8,31.9,12.1,22,0,4,M,M,0,
2015-06-09,2015,6,9,23.4,10.9,17.2,0.8,0,M,M,0,
2015-06-10,2015,6,10,23.7,11.9,17.8,0.2,0,M,M,0,
2015-06-11,2015,6,11,28.5,9.3,18.9,0,0.9,M,M,0,
2015-06-12,2015,6,12,12.9,4.2,8.6,9.4,0,M,M,7,
2015-06-13,2015,6,13,14.7,4.7,9.7,8.3,0,M,M,3.6,
2015-06-14,2015,6,14,14.4,6.5,10.5,7.5,0,M,M,0.3,
2015-06-15,2015,6,15,17.6,4.8,11.2,6.8,0,M,M,0,
2015-06-16,2015,6,16,24,7.8,15.9,2.1,0,M,M,3,
2015-06-17,2015,6,17,11.9,9,10.5,7.5,0,M,M,5.5,
2015-06-18,2015,6,18,20.3,8.9,14.6,3.4,0,M,M,0.3,
2015-06-19,2015,6,19,22.8,9.6,16.2,1.8,0,M,M,0.5,
2015-06-20,2015,6,20,20.2,4.7,12.5,5.5,0,M,M,2.8,
2015-06-21,2015,6,21,17.6,7.8,12.7,5.3,0,M,M,4.7,
2015-06-22,2015,6,22,22.7,5.3,14,4,0,M,M,0,
2015-06-23,2015,6,23,21.5,9.7,15.6,2.4,0,M,M,0,
2015-06-24,2015,6,24,24.1,8.3,16.2,1.8,0,M,M,0,
2015-06-25,2015,6,25,27.9,12.6,20.3,0,2.3,M,M,0,
2015-06-26,2015,6,26,28.6,15.9,22.3,0,4.3,M,M,0,
2015-06-27,2015,6,27,30.2,12.9,21.6,0,3.6,M,M,0,
2015-06-28,2015,6,28,30.2,14.2,22.2,0,4.2,M,M,0,
2015-06-29,2015,6,29,22.5,17,19.8,0,1.8,M,M,0,
